shapeId,shapeType,shapeLabel,pointId,pointX,pointY,source
84,point,,0,1668.8,566.3,
85,point,,0,1680,567,
86,point,,0,1691.1999999999998,566.3,
87,point,,0,1703.1,566.3,
88,point,,0,1715,564.8999999999999,
89,point,,0,1728.3,564.8999999999999,
90,point,,0,1738.8,564.8999999999999,
91,point,,0,1749.3,566.3,
92,point,,0,1761.8999999999999,566.3,
93,point,,0,1761.8999999999999,566.3,
94,point,,0,1773.1,567.6999999999999,
95,point,,0,1784.3,566.3,
96,point,,0,1372,289.80000000000007,
97,point,,0,1372,289.80000000000007,
98,point,,0,1360.1,291.20000000000005,
99,point,,0,1348.1999999999998,291.20000000000005,
100,point,,0,1334.8999999999999,291.20000000000005,
101,point,,0,1322.3,291.20000000000005,
102,point,,0,1311.1,291.9,
103,point,,0,1297.8,293.30000000000007,
104,point,,0,1295.6999999999998,282.80000000000007,
105,point,,0,1295.6999999999998,272.30000000000007,
106,point,,0,1295,261.80000000000007,
107,point,,0,1295,249.89999999999998,
108,point,,0,1295,238,
109,point,,0,1295.6999999999998,226.80000000000007,
110,point,,0,1297.8,307.29999999999995,
111,point,,0,1297.8,319.9,
112,point,,0,1297.8,333.9,
113,point,,0,1297.8,347.19999999999993,
114,point,,0,1297.8,359.79999999999995,
115,point,,0,1295.6999999999998,373.09999999999997,
116,point,,0,1295,384.99999999999994,
117,point,,0,1295.6999999999998,401.09999999999997,
118,point,,0,1294.3,412.29999999999995,
119,point,,0,1294.3,426.29999999999995,
120,point,,0,1294.3,438.8999999999999,
121,point,,0,1294.3,452.8999999999999,
122,point,,0,1295,466.19999999999993,
123,point,,0,1295,478.79999999999995,
124,point,,0,1295,492.09999999999997,
125,point,,0,1295,504.69999999999993,
126,point,,0,1292.8999999999999,518.6999999999999,
127,point,,0,1294.3,532,
128,point,,0,1294.3,546.6999999999999,
129,point,,0,1294.3,560,
130,point,,0,1294.3,571.1999999999999,
131,point,,0,1294.3,583.0999999999999,
132,point,,0,1294.3,595.6999999999999,
133,point,,0,1297.1,611.0999999999999,
134,point,,0,1281.6999999999998,611.8,
135,point,,0,1269.1,611.8,
136,point,,0,1255.1,611.8,
137,point,,0,1241.8,611.0999999999999,
138,point,,0,1239,597.0999999999999,
139,point,,0,1309,606.1999999999999,
140,point,,0,1294.3,625.0999999999999,
141,point,,0,1294.3,641.9,
142,point,,0,1294.3,658.6999999999999,
143,point,,0,1295,674.0999999999999,
144,point,,0,1295,686.6999999999999,
